Pos,Num,name,Equipe,gender,Cat,Por Categoria,TOP 100,KM10,"KM21,1","KM 26,2",KM 30,"KM 34,2",time,Tempo Bruto,Vel.Média
1,95,SAMUEL RIBEIRO,,Masculino,G-MASC,1,,0:33:58,1:11:37,1:29:34,1:42:39,1:56:56,2:26:41,2:26:44,"17,26"
2,98,RAPHAEL MAGALHAES,PERSONALBESTRUN,Masculino,G-MASC,2,,0:34:36,1:13:16,1:31:39,1:45:02,1:59:29,2:30:00,2:30:02,"16,88"
3,11037,RAIMUNDO DOS SANTOS MOURAO,,Masculino,G-MASC,3,,0:35:23,1:15:34,1:35:01,1:49:00,2:04:19,2:36:23,2:36:29,"16,19"
4,92,JOSE LUIZ DA SILVA SILVA,,Masculino,G-MASC,4,,0:35:36,1:15:37,1:35:05,1:49:12,2:04:38,2:36:56,2:36:59,"16,13"
5,10999,OSEIAS DOS SANTOS,OSEIASSANTOSRUN,Masculino,G-MASC,5,,0:35:30,1:15:45,1:35:47,1:50:02,2:05:27,2:38:47,2:38:52,"15,94"
6,10592,BRUNO VICTOR MONTBLANCO DE MENEZES,,Masculino,MASTM,1,TOP 100,0:37:35,1:18:48,1:38:33,1:52:36,2:08:09,2:39:59,2:40:04,"15,83"
7,10864,JULIANO PEREIRA,RRRUN,Masculino,PRE-VETM,1,TOP 100,0:37:18,1:17:31,1:36:55,1:51:28,2:07:20,2:41:06,2:41:10,"15,72"
8,10927,LUIZ GANGI,GANGISPORTS,Masculino,PRE-VETM,2,TOP 100,0:37:38,1:18:34,1:38:03,1:52:26,2:07:57,2:41:09,2:41:38,"15,71"
9,11108,SEBASTIAO RODRIGUES VIANA,NUMBER ONE,Masculino,PRE-VETM,3,TOP 100,0:36:35,1:15:48,1:34:52,1:49:12,2:05:01,2:41:51,2:43:25,"15,64"
10,11107,SEBASTIAO PAULO DOS SANTOS,CORREDORES DE RUA DE IBATE,Masculino,MASTM,2,TOP 100,0:37:56,1:20:01,1:39:41,1:53:57,2:09:48,2:42:53,2:43:01,"15,54"
11,10749,FERNANDO QUARTAROLO MARQUES,QUEMNOCORRESCAMINHA,Masculino,MASTM,3,TOP 100,0:37:26,1:20:39,1:40:45,1:55:03,2:10:44,2:43:26,2:43:32,"15,49"
12,10990,NEILTON BARRETO SOCORRO JUNIOR,TREM PAGADOR,Masculino,PRE-VETM,4,TOP 100,0:37:50,1:19:31,1:39:53,1:54:46,2:10:56,2:44:20,2:44:29,"15,41"
13,10565,ANILTON DOS SANTOS,RR RUN/LIGA SOLIDARIA,Masculino,PRE-VETM,5,TOP 100,0:38:20,1:20:17,1:40:12,1:55:25,2:12:28,2:44:59,2:46:48,"15,35"
14,15617,ROBSON DE PAULA SANTOS,QUARKSPORTS,Masculino,PRE-VETM,6,TOP 100,0:39:00,1:22:14,1:42:54,1:57:32,2:13:40,2:45:35,2:45:50,"15,29"
15,10663,DOUGLAS PINHEIRO MIRANDA,RF TREINAMENTO ESPORTIVO,Masculino,PRE-VETM,7,TOP 100,0:38:42,1:21:34,1:42:04,1:56:59,2:13:21,2:46:25,2:47:52,"15,21"
16,10995,NIVALDO MODESTO DE SOUZA JUNIOR,,Masculino,ADULM,1,TOP 100,0:38:32,1:21:51,1:42:35,1:57:40,2:13:48,2:46:38,2:46:46,"15,19"
17,10950,MARCOS EITI ITANO,CLUBE INGA,Masculino,PRE-VETM,8,TOP 100,0:40:36,1:25:07,1:46:08,2:01:00,2:16:42,2:47:54,2:47:59,"15,08"
18,10755,FRANCISCO CAPPELETTI PIZARRO,AVULSO,Masculino,PRE-VETM,9,TOP 100,0:39:47,1:23:02,1:43:37,1:58:37,2:14:40,2:47:57,2:48:06,"15,08"
19,11053,RENATO DANTAS DE LUCAS,,Masculino,PRE-VETM,10,TOP 100,0:38:07,1:21:53,1:42:31,1:57:45,2:14:14,2:48:16,2:48:24,"15,05"
