Pos,Num,name,Equipe,gender,Cat,Por Categoria,PC1_42K,PC2_42K,PC3_42K,time,Tempo Bruto,Vel.Média
1,3,ADILSON DOLBERTH,DOLBERTH ASSESSORIA ESPORTIVA,Masculino,ELTM,1,0:23:30,1:06:28,1:58:34,2:20:41,2:20:45,3:21
2,1029,FABIO RAMOS DOS SANTOS,CR RUNNERS BRASIL,Masculino,ELTM,2,0:23:22,1:06:34,1:59:54,2:24:33,2:24:37,3:26
3,9,ANTONIO LUIZ DA SILVA,SUB ELITE VANILSON NEVES,Masculino,ELTM,3,0:23:41,1:06:59,2:00:52,2:24:54,2:24:57,3:27
4,16,GABRIEL ALVES POZZO,PRO ELITECT LAZARO VELASQUEZUFSM,Masculino,ELTM,4,0:23:27,1:06:31,2:00:01,2:25:24,2:25:26,3:28
5,1842,DIEGO ANDRADE RAMOS,APA DE PETROLINA,Masculino,ELTM,5,0:23:45,1:07:58,2:01:50,2:25:31,2:25:35,3:28
6,27,LUIS FELIPE LEITE BARBOZA,VERTKALL FIT,Masculino,ELTM,6,0:23:54,1:08:01,2:01:54,2:25:47,2:25:48,3:28
7,32,RENAN BARCKFELD CORREIA,RENAN BARCKFELD,Masculino,ELTM,7,0:23:54,1:07:59,2:02:37,2:26:00,2:26:01,3:29
8,5,ADRIANO PACHECO DA CRUZ,ASSESSORIA ESPORTIVA ADRIANO PACHECO,Masculino,ELTM,8,0:24:17,1:09:32,2:03:48,2:26:22,2:26:24,3:29
9,14,FABRICIO GOMES SANTOS,UNIMED SUDOESTE MARCELO DEFAVERI,Masculino,ELTM,9,0:23:30,1:06:28,2:00:00,2:26:25,2:26:28,3:29
10,20,ISRAEL TIAGO PEREIRA MECABO,TM RUNNERS,Masculino,ELTM,10,0:24:13,1:08:23,2:03:03,2:26:51,2:26:53,3:30
11,7,ALESSANDRO DE SOUZA,NOROESTE RUNNES,Masculino,ELTM,11,0:23:40,1:06:27,1:59:01,2:28:04,2:28:08,3:32
12,2135,LUCAS SIMOES DE OLIVEIRA,GAZZONI COACH ACN CAMPOS NOVOS,Masculino,M3034,1,0:24:44,1:10:03,2:04:06,2:28:42,2:28:49,3:32
13,28,MARCIO BARRETO SILVA,MBSPORTS,Masculino,ELTM,12,0:23:42,1:08:22,2:06:03,2:30:34,2:30:37,3:35
14,3619,BRUNO VICTOR MONTBLANCO DE MENEZES,UNISANTANNA - ASSOCIACAO APC,Masculino,M3034,2,0:24:18,1:08:52,2:05:42,2:30:46,2:30:46,3:35
15,25,LAERCIO LODI,ASSESSORIA ESPORTIVA START RUN,Masculino,ELTM,13,0:24:25,1:10:00,2:06:31,2:32:14,2:32:18,3:37
